,x,y,z,p0_before,p0_after,speed
0,12.5,,,0,0.0,20.0
1,12.5,5.0,,0,0.0,20.0
2,,,,-1000,5.0,
3,12.5,5.0,,0,0.0,10.0
4,12.5,5.0,,0,0.0,20.0
5,12.5,5.0,-22.5,0,1.0,20.0
6,12.5,15.0,-22.5,1,1.0,10.0
7,12.5,15.0,-22.5,1,1.0,20.0
8,12.5,17.0,-22.5,1,0.0,10.0
9,12.5,17.0,-21.25,0,1.0,20.0
10,12.5,7.0,-21.25,1,1.0,10.0
11,12.5,7.0,-21.25,1,1.0,20.0
12,12.5,5.0,-21.25,1,0.0,10.0
13,12.5,5.0,-20.0,0,0.0,20.0
14,,,,-1000,10.0,
15,12.5,5.0,-20.0,0,0.0,10.0
16,12.5,5.0,-20.0,0,0.0,20.0
17,12.5,5.0,-17.5,0,1.0,20.0
18,12.5,15.0,-17.5,1,1.0,10.0
19,12.5,15.0,-17.5,1,1.0,20.0
20,12.5,17.0,-17.5,1,0.0,10.0
21,12.5,17.0,-16.25,0,1.0,20.0
22,12.5,7.0,-16.25,1,1.0,10.0
23,12.5,7.0,-16.25,1,1.0,20.0
24,12.5,5.0,-16.25,1,0.0,10.0
25,12.5,5.0,-15.0,0,0.0,20.0
26,,,,-1000,15.0,
27,12.5,5.0,-15.0,0,0.0,10.0
28,12.5,5.0,-15.0,0,0.0,20.0
29,12.5,5.0,-12.5,0,1.0,20.0
30,12.5,15.0,-12.5,1,1.0,10.0
31,12.5,15.0,-12.5,1,1.0,20.0
32,12.5,17.0,-12.5,1,0.0,10.0
33,12.5,17.0,-11.25,0,1.0,20.0
34,12.5,7.0,-11.25,1,1.0,10.0
35,12.5,7.0,-11.25,1,1.0,20.0
36,12.5,5.0,-11.25,1,0.0,10.0
37,12.5,5.0,-10.0,0,0.0,20.0
38,,,,-1000,20.0,
39,12.5,5.0,-10.0,0,0.0,10.0
40,12.5,5.0,-10.0,0,0.0,20.0
41,12.5,5.0,-7.5,0,1.0,20.0
42,12.5,15.0,-7.5,1,1.0,10.0
43,12.5,15.0,-7.5,1,1.0,20.0
44,12.5,17.0,-7.5,1,0.0,10.0
45,12.5,17.0,-6.25,0,1.0,20.0
46,12.5,7.0,-6.25,1,1.0,10.0
47,12.5,7.0,-6.25,1,1.0,20.0
48,12.5,5.0,-6.25,1,0.0,10.0
49,12.5,5.0,-5.0,0,0.0,20.0
50,,,,-1000,40.0,
51,12.5,5.0,-5.0,0,0.0,10.0
52,12.5,5.0,-5.0,0,0.0,20.0
53,12.5,5.0,-2.5,0,1.0,20.0
54,12.5,15.0,-2.5,1,1.0,10.0
55,12.5,15.0,-2.5,1,1.0,20.0
56,12.5,17.0,-2.5,1,0.0,10.0
57,12.5,17.0,-1.25,0,1.0,20.0
58,12.5,7.0,-1.25,1,1.0,10.0
59,12.5,7.0,-1.25,1,1.0,20.0
60,12.5,5.0,-1.25,1,0.0,10.0
61,12.5,5.0,0.0,0,0.0,20.0
62,12.5,22.0,0.0,0,0.0,20.0
63,,,,-1000,5.0,
64,12.5,22.0,0.0,0,0.0,10.0
65,12.5,22.0,0.0,0,0.0,20.0
66,12.5,22.0,-22.5,0,1.0,20.0
67,12.5,30.0,-22.5,1,1.0,10.0
68,12.5,30.0,-22.5,1,1.0,20.0
69,12.5,32.0,-22.5,1,0.0,10.0
70,12.5,32.0,-21.25,0,1.0,20.0
71,12.5,24.0,-21.25,1,1.0,10.0
72,12.5,24.0,-21.25,1,1.0,20.0
73,12.5,22.0,-21.25,1,0.0,10.0
74,12.5,22.0,-20.0,0,0.0,20.0
75,,,,-1000,10.0,
76,12.5,22.0,-20.0,0,0.0,10.0
77,12.5,22.0,-20.0,0,0.0,20.0
78,12.5,22.0,-17.5,0,1.0,20.0
79,12.5,30.0,-17.5,1,1.0,10.0
80,12.5,30.0,-17.5,1,1.0,20.0
81,12.5,32.0,-17.5,1,0.0,10.0
82,12.5,32.0,-16.25,0,1.0,20.0
83,12.5,24.0,-16.25,1,1.0,10.0
