,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,-5.0,0,0,0,0,20.0
1,12.5,,-5.0,0,0,0,0,20.0
2,12.5,16.206,-5.0,0,0,0,0,20.0
3,12.5,16.206,-12.5,0,0,0,1,20.0
4,12.5,16.206,-5.0,0,0,1,0,10.0
5,12.5,16.582875,-5.0,0,0,0,0,20.0
6,12.5,16.582875,-12.5,0,0,0,1,20.0
7,12.5,16.582875,-5.0,0,0,1,0,10.0
8,10.0,16.95975,-5.0,0,0,0,0,20.0
9,10.0,16.95975,-11.25,0,0,0,1,20.0
10,15.0,16.95975,-11.25,0,0,1,0,10.0
11,15.0,16.95975,-9.583333333333334,0,0,0,1,20.0
12,10.0,16.95975,-9.583333333333334,0,0,1,0,10.0
13,10.0,16.95975,-7.916666666666667,0,0,0,1,20.0
14,15.0,16.95975,-7.916666666666667,0,0,1,0,10.0
15,15.0,16.95975,-6.25,0,0,0,1,20.0
16,10.0,16.95975,-6.25,0,0,1,0,10.0
17,10.0,16.95975,-5.0,0,0,0,0,20.0
18,12.5,16.95975,-5.0,0,0,0,0,20.0
19,12.5,19.45975,-5.0,0,0,0,0,20.0
20,12.5,19.45975,-12.5,0,0,0,1,20.0
21,12.5,19.45975,-5.0,0,0,1,0,10.0
22,12.5,19.836624999999998,-5.0,0,0,0,0,20.0
23,12.5,19.836624999999998,-12.5,0,0,0,1,20.0
24,12.5,19.836624999999998,-5.0,0,0,1,0,10.0
25,10.0,20.2135,-5.0,0,0,0,0,20.0
26,10.0,20.2135,-11.25,0,0,0,1,20.0
27,15.0,20.2135,-11.25,0,0,1,0,10.0
28,15.0,20.2135,-9.583333333333334,0,0,0,1,20.0
29,10.0,20.2135,-9.583333333333334,0,0,1,0,10.0
30,10.0,20.2135,-7.916666666666667,0,0,0,1,20.0
31,15.0,20.2135,-7.916666666666667,0,0,1,0,10.0
32,15.0,20.2135,-6.25,0,0,0,1,20.0
33,10.0,20.2135,-6.25,0,0,1,0,10.0
34,10.0,20.2135,10.0,0,0,0,0,20.0
