,x,y,z,p0_before,p0_after,speed
0,,,-15.0,0,0,20.0
1,12.5,,-15.0,0,0,20.0
2,12.5,39.5225,-15.0,0,0,20.0
3,12.5,39.5225,-22.5,0,1,20.0
4,12.5,39.5225,-15.0,1,0,10.0
5,12.5,40.050125,-15.0,0,0,20.0
6,12.5,40.050125,-22.5,0,1,20.0
7,12.5,40.050125,-15.0,1,0,10.0
8,12.5,40.050125,-15.0,0,0,20.0
9,12.5,40.050125,-15.0,0,0,20.0
10,12.5,43.07775,-15.0,0,0,20.0
11,12.5,43.07775,-22.5,0,1,20.0
12,12.5,43.07775,-15.0,1,0,10.0
13,12.5,43.605375,-15.0,0,0,20.0
14,12.5,43.605375,-22.5,0,1,20.0
15,12.5,43.605375,-15.0,1,0,10.0
16,11.972375,37.8139375,-15.0,0,0,20.0
17,11.972375,37.8139375,-21.25,0,1,20.0
18,11.972375,45.3139375,-21.25,1,1,10.0
19,11.972375,45.3139375,-19.583333333333332,1,1,10.0
20,11.972375,37.8139375,-19.583333333333332,1,1,10.0
21,11.972375,37.8139375,-17.916666666666668,1,1,10.0
22,11.972375,45.3139375,-17.916666666666668,1,1,10.0
23,11.972375,45.3139375,-16.25,1,1,10.0
24,11.972375,37.8139375,-16.25,1,0,10.0
25,11.972375,37.8139375,10.0,0,0,10.0
