,x,y,z,p0_before,p0_after,speed
0,7.5,28.3165,,0,0,20.0
1,7.5,28.3165,-22.5,0,1,20.0
2,17.5,28.3165,-22.5,1,0,10.0
3,17.5,28.9195,-22.5,0,1,20.0
4,7.5,28.9195,-22.5,1,0,10.0
5,7.5,29.5225,-22.5,0,1,20.0
6,17.5,29.5225,-22.5,1,0,10.0
7,17.5,29.5225,-20.0,0,0,20.0
8,7.5,28.3165,-20.0,0,0,20.0
9,7.5,28.3165,-17.5,0,1,20.0
10,17.5,28.3165,-17.5,1,0,10.0
11,17.5,28.9195,-17.5,0,1,20.0
12,7.5,28.9195,-17.5,1,0,10.0
13,7.5,29.5225,-17.5,0,1,20.0
14,17.5,29.5225,-17.5,1,0,10.0
15,17.5,29.5225,-15.0,0,0,20.0
16,7.5,28.3165,-15.0,0,0,20.0
17,7.5,28.3165,-12.5,0,1,20.0
18,17.5,28.3165,-12.5,1,0,10.0
19,17.5,28.9195,-12.5,0,1,20.0
20,7.5,28.9195,-12.5,1,0,10.0
21,7.5,29.5225,-12.5,0,1,20.0
22,17.5,29.5225,-12.5,1,0,10.0
23,17.5,29.5225,-10.0,0,0,20.0
24,7.5,28.3165,-10.0,0,0,20.0
25,7.5,28.3165,-7.5,0,1,20.0
26,17.5,28.3165,-7.5,1,0,10.0
27,17.5,28.9195,-7.5,0,1,20.0
28,7.5,28.9195,-7.5,1,0,10.0
29,7.5,29.5225,-7.5,0,1,20.0
30,17.5,29.5225,-7.5,1,0,10.0
31,17.5,29.5225,-5.0,0,0,20.0
32,17.5,29.5225,10.0,0,0,10.0
