,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,,,-12.5,1,1,0,0,10.0
4,20.376875,14.275,-12.5,1,1,0,0,20.0
5,20.376875,14.275,-12.5,1,1,0,0,10.0
6,20.376875,14.375,-12.5,1,1,0,1,20.0
7,20.376875,23.5,-12.5,1,1,1,0,10.0
8,20.0,23.5,-12.5,1,1,0,1,20.0
9,20.0,14.375,-12.5,1,1,1,0,10.0
10,19.623125,14.375,-12.5,1,1,0,1,20.0
11,19.623125,23.5,-12.5,1,1,1,0,10.0
12,15.376875,14.275,-12.5,1,1,0,0,20.0
13,15.376875,14.275,-12.5,1,1,0,0,10.0
14,15.376875,14.375,-12.5,1,1,0,1,20.0
15,15.376875,23.5,-12.5,1,1,1,0,10.0
16,15.0,23.5,-12.5,1,1,0,1,20.0
17,15.0,14.375,-12.5,1,1,1,0,10.0
18,14.623125,14.375,-12.5,1,1,0,1,20.0
19,14.623125,23.5,-12.5,1,1,1,0,10.0
20,10.376875,14.275,-12.5,1,1,0,0,20.0
21,10.376875,14.275,-12.5,1,1,0,0,10.0
22,10.376875,14.375,-12.5,1,1,0,1,20.0
23,10.376875,23.5,-12.5,1,1,1,0,10.0
24,10.0,23.5,-12.5,1,1,0,1,20.0
25,10.0,14.375,-12.5,1,1,1,0,10.0
26,9.623125,14.375,-12.5,1,1,0,1,20.0
27,9.623125,23.5,-12.5,1,1,1,0,10.0
28,5.376875,14.275,-12.5,1,1,0,0,20.0
29,5.376875,14.275,-12.5,1,1,0,0,10.0
30,5.376875,14.375,-12.5,1,1,0,1,20.0
31,5.376875,23.5,-12.5,1,1,1,0,10.0
32,5.0,23.5,-12.5,1,1,0,1,20.0
33,5.0,14.375,-12.5,1,1,1,0,10.0
34,4.623125,14.375,-12.5,1,1,0,1,20.0
35,4.623125,23.5,-12.5,1,1,1,0,10.0
36,4.623125,23.5,10.0,1,0,0,0,20.0
