,x,y,z,p11_before,p11_after,p1_before,p1_after,p0_before,p0_after,speed
0,,,-12.5,0,0,0,0,0,0,10.0
1,20.376875,14.375,-12.5,0,0,0,0,0,0,20.0
2,20.376875,14.375,-12.5,0,0,0,0,0,1,20.0
3,20.376875,23.5,-12.5,0,0,0,0,1,0,10.0
4,20.0,23.5,-12.5,0,0,0,0,0,1,20.0
5,20.0,14.375,-12.5,0,0,0,0,1,0,10.0
6,19.623125,14.375,-12.5,0,0,0,0,0,1,20.0
7,19.623125,23.5,-12.5,0,0,0,0,1,0,10.0
8,15.376875,14.375,-12.5,0,0,0,0,0,0,20.0
9,15.376875,14.375,-12.5,0,0,0,0,0,1,20.0
10,15.376875,23.5,-12.5,0,0,0,0,1,0,10.0
11,15.0,23.5,-12.5,0,0,0,0,0,1,20.0
12,15.0,14.375,-12.5,0,0,0,0,1,0,10.0
13,14.623125,14.375,-12.5,0,0,0,0,0,1,20.0
14,14.623125,23.5,-12.5,0,0,0,0,1,0,10.0
15,10.376875,14.375,-12.5,0,0,0,0,0,0,20.0
16,10.376875,14.375,-12.5,0,0,0,0,0,1,20.0
17,10.376875,23.5,-12.5,0,0,0,0,1,0,10.0
18,10.0,23.5,-12.5,0,0,0,0,0,1,20.0
19,10.0,14.375,-12.5,0,0,0,0,1,0,10.0
20,9.623125,14.375,-12.5,0,0,0,0,0,1,20.0
21,9.623125,23.5,-12.5,0,0,0,0,1,0,10.0
22,5.376875,14.375,-12.5,0,0,0,0,0,0,20.0
23,5.376875,14.375,-12.5,0,0,0,0,0,1,20.0
24,5.376875,23.5,-12.5,0,0,0,0,1,0,10.0
25,5.0,23.5,-12.5,0,0,0,0,0,1,20.0
26,5.0,14.375,-12.5,0,0,0,0,1,0,10.0
27,4.623125,14.375,-12.5,0,0,0,0,0,1,20.0
28,4.623125,23.5,-12.5,0,0,0,0,1,0,10.0
29,4.623125,23.5,10.0,0,0,0,0,0,0,20.0
