,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,,,-12.5,1,1,0,0,10.0
4,20.527625,38.025,-12.5,1,1,0,0,20.0
5,20.527625,38.025,-12.5,1,1,0,0,10.0
6,20.527625,38.125,-12.5,1,1,0,1,20.0
7,20.527625,47.25,-12.5,1,1,1,0,10.0
8,20.0,47.25,-12.5,1,1,0,1,20.0
9,20.0,38.125,-12.5,1,1,1,0,10.0
10,19.472375,38.125,-12.5,1,1,0,1,20.0
11,19.472375,47.25,-12.5,1,1,1,0,10.0
12,15.527625,38.025,-12.5,1,1,0,0,20.0
13,15.527625,38.025,-12.5,1,1,0,0,10.0
14,15.527625,38.125,-12.5,1,1,0,1,20.0
15,15.527625,47.25,-12.5,1,1,1,0,10.0
16,15.0,47.25,-12.5,1,1,0,1,20.0
17,15.0,38.125,-12.5,1,1,1,0,10.0
18,14.472375,38.125,-12.5,1,1,0,1,20.0
19,14.472375,47.25,-12.5,1,1,1,0,10.0
20,10.527625,38.025,-12.5,1,1,0,0,20.0
21,10.527625,38.025,-12.5,1,1,0,0,10.0
22,10.527625,38.125,-12.5,1,1,0,1,20.0
23,10.527625,47.25,-12.5,1,1,1,0,10.0
24,10.0,47.25,-12.5,1,1,0,1,20.0
25,10.0,38.125,-12.5,1,1,1,0,10.0
26,9.472375,38.125,-12.5,1,1,0,1,20.0
27,9.472375,47.25,-12.5,1,1,1,0,10.0
28,5.5276250000000005,38.025,-12.5,1,1,0,0,20.0
29,5.5276250000000005,38.025,-12.5,1,1,0,0,10.0
30,5.5276250000000005,38.125,-12.5,1,1,0,1,20.0
31,5.5276250000000005,47.25,-12.5,1,1,1,0,10.0
32,5.0,47.25,-12.5,1,1,0,1,20.0
33,5.0,38.125,-12.5,1,1,1,0,10.0
34,4.4723749999999995,38.125,-12.5,1,1,0,1,20.0
35,4.4723749999999995,47.25,-12.5,1,1,1,0,10.0
36,4.4723749999999995,47.25,10.0,1,0,0,0,20.0
