,x,y,z,p11_before,p11_after,p0_before,p0_after,speed
0,,,,0,1,0,0,0.0
1,,,,1,1,0,1,0.0
2,,,,1,1,1,0,0.0
3,10.0,2.4,,1,1,0,0,20.0
4,10.0,2.4,-12.5,1,1,0,0,10.0
5,10.0,2.5,-12.5,1,1,0,1,20.0
6,10.0,12.5,-12.5,1,1,1,1,10.0
7,9.6985,12.5,-12.5,1,1,1,1,10.0
8,9.6985,2.5,-12.5,1,1,1,1,10.0
9,7.5,2.5,-12.5,1,1,1,1,10.0
10,7.5,12.5,-12.5,1,1,1,1,10.0
11,7.1985,12.5,-12.5,1,1,1,1,10.0
12,7.1985,2.5,-12.5,1,1,1,1,10.0
13,5.0,2.5,-12.5,1,1,1,1,10.0
14,5.0,12.5,-12.5,1,1,1,1,10.0
15,4.6985,12.5,-12.5,1,1,1,1,10.0
16,4.6985,2.5,-12.5,1,1,1,0,10.0
17,4.6985,2.5,-10.0,1,1,0,0,20.0
18,9.397,2.5,-10.0,1,1,0,0,20.0
19,9.397,3.75,-10.0,1,1,0,0,20.0
20,9.397,3.75,-15.0,1,1,0,1,20.0
21,9.397,3.75,-10.0,1,1,1,0,10.0
22,9.397,6.25,-10.0,1,1,0,0,20.0
23,9.397,6.25,-15.0,1,1,0,1,20.0
24,9.397,6.25,-10.0,1,1,1,0,10.0
25,9.397,8.75,-10.0,1,1,0,0,20.0
26,9.397,8.75,-15.0,1,1,0,1,20.0
27,9.397,8.75,-10.0,1,1,1,0,10.0
28,9.397,11.25,-10.0,1,1,0,0,20.0
29,9.397,11.25,-15.0,1,1,0,1,20.0
30,9.397,11.25,-10.0,1,1,1,0,10.0
31,9.397,11.25,-10.0,1,1,0,0,20.0
32,6.897,11.25,-10.0,1,1,0,0,20.0
33,6.897,3.75,-10.0,1,1,0,0,20.0
34,6.897,3.75,-15.0,1,1,0,1,20.0
35,6.897,3.75,-10.0,1,1,1,0,10.0
36,6.897,6.25,-10.0,1,1,0,0,20.0
37,6.897,6.25,-15.0,1,1,0,1,20.0
38,6.897,6.25,-10.0,1,1,1,0,10.0
39,6.897,8.75,-10.0,1,1,0,0,20.0
40,6.897,8.75,-15.0,1,1,0,1,20.0
41,6.897,8.75,-10.0,1,1,1,0,10.0
42,6.897,11.25,-10.0,1,1,0,0,20.0
43,6.897,11.25,-15.0,1,1,0,1,20.0
44,6.897,11.25,-10.0,1,1,1,0,10.0
45,6.897,11.25,-10.0,1,1,0,0,20.0
46,4.397,11.25,-10.0,1,1,0,0,20.0
47,4.397,3.75,-10.0,1,1,0,0,20.0
48,4.397,3.75,-15.0,1,1,0,1,20.0
49,4.397,3.75,-10.0,1,1,1,0,10.0
50,4.397,6.25,-10.0,1,1,0,0,20.0
51,4.397,6.25,-15.0,1,1,0,1,20.0
52,4.397,6.25,-10.0,1,1,1,0,10.0
53,4.397,8.75,-10.0,1,1,0,0,20.0
54,4.397,8.75,-15.0,1,1,0,1,20.0
55,4.397,8.75,-10.0,1,1,1,0,10.0
56,4.397,11.25,-10.0,1,1,0,0,20.0
57,4.397,11.25,-15.0,1,1,0,1,20.0
58,4.397,11.25,-10.0,1,1,1,0,10.0
59,4.397,11.25,10.0,1,0,0,0,20.0
